NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	211	0.41163442	2.1106014	0.0	0.0	0.0	4661	tags=45%, list=26%, signal=61%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	144	0.42787558	2.0836432	0.0	0.0	0.0	3236	tags=40%, list=18%, signal=48%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	183	0.40712106	2.036442	0.0	0.0	0.0	3583	tags=37%, list=20%, signal=45%	
FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	Details ...	75	0.46577382	2.0030444	0.0	0.0	0.0	3135	tags=39%, list=17%, signal=47%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	101	0.43330878	1.9928374	0.0	0.0	0.0	4825	tags=45%, list=27%, signal=60%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	213	0.37502378	1.9333085	0.0	6.666667E-4	0.003	3828	tags=38%, list=21%, signal=48%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	58	0.46225503	1.8709167	0.0	0.0013318491	0.006	3133	tags=36%, list=17%, signal=44%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	196	0.36137134	1.8269724	0.0	0.0018979668	0.01	3463	tags=32%, list=19%, signal=39%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	89	0.40631565	1.8136984	0.0	0.0021174168	0.013	3583	tags=38%, list=20%, signal=47%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	54	0.43882677	1.8073357	0.0	0.0019056752	0.013	3283	tags=37%, list=18%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	223	0.34179726	1.755943	0.0	0.002471061	0.019	5045	tags=40%, list=28%, signal=55%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	226	0.33668998	1.7455429	0.0	0.0028658137	0.024	3135	tags=31%, list=17%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	185	0.33986968	1.7011665	0.0	0.0047418196	0.041	2559	tags=24%, list=14%, signal=27%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	205	0.3236366	1.661073	0.0	0.007213504	0.064	3196	tags=29%, list=18%, signal=35%	
