NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	217	-0.44079435	-2.2596397	0.0	0.0	0.0	6036	tags=55%, list=33%, signal=81%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	219	-0.419771	-2.176404	0.0	0.0	0.0	6762	tags=63%, list=37%, signal=100%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	209	-0.36428645	-1.8863046	0.0	4.7658576E-4	0.003	5023	tags=39%, list=28%, signal=53%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	224	-0.32246828	-1.6679391	0.0	0.0066242022	0.054	3664	tags=37%, list=20%, signal=46%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	168	-0.30641857	-1.535298	0.0	0.016723277	0.162	5453	tags=43%, list=30%, signal=62%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	159	-0.2737599	-1.3565742	0.026217228	0.07243153	0.605	4201	tags=30%, list=23%, signal=38%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	112	-0.23331219	-1.0861394	0.2820513	0.51125216	0.999	4577	tags=33%, list=25%, signal=44%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	21	-0.328889	-1.0438924	0.42424244	0.5796625	1.0	3373	tags=33%, list=19%, signal=41%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	110	-0.20712425	-0.9668233	0.51814514	0.7714278	1.0	4577	tags=31%, list=25%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	125	-0.194505	-0.92198914	0.621881	0.8439257	1.0	3095	tags=20%, list=17%, signal=24%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	205	-0.16642973	-0.8539266	0.85921323	0.95592684	1.0	5792	tags=34%, list=32%, signal=49%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	230	-0.16541418	-0.8503914	0.86206895	0.88431054	1.0	2736	tags=15%, list=15%, signal=17%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	59	-0.2055423	-0.84049463	0.7616279	0.8356953	1.0	6797	tags=42%, list=38%, signal=68%	
